Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/v1/accounts/114559319058558738/follow,3,0,290.0,285.83538865981,160.50305499811657,410.90458500548266,292.0,0.0032615610008912524,0.0,290,290,410,410,410,410,410,410,410,410,410
GET,/api/v1/accounts/114559319058558738/followers,2,0,123.81740298587829,136.1483989894623,123.81740298587829,148.4793949930463,410.0,0.002174374000594168,0.0,150,150,150,150,150,150,150,150,150,150,150
GET,/api/v1/accounts/114559319058558738/following,7,0,160.0,192.97122000300857,141.07863800018094,325.85585600463673,1266.857142857143,0.007610309002079588,0.0,160,220,220,220,330,330,330,330,330,330,330
POST,/api/v1/accounts/114559319058558738/unfollow,3,0,210.0,321.5929940051865,153.55049900244921,597.4817690148484,294.0,0.0032615610008912524,0.0,210,210,600,600,600,600,600,600,600,600,600
POST,/api/v1/accounts/114559319098063404/follow,5,0,390.0,464.0942281926982,154.91283597657457,856.6307259898167,292.0,0.0054359350014854205,0.0,390,720,720,860,860,860,860,860,860,860,860
GET,/api/v1/accounts/114559319098063404/followers,10,0,190.0,276.7340399965178,129.88311899243854,719.6384010021575,821.2,0.010871870002970841,0.0,210,260,370,430,720,720,720,720,720,720,720
GET,/api/v1/accounts/114559319098063404/following,3,0,300.0,599.7677923490604,167.5196560099721,1331.3210620253813,1045.3333333333333,0.0032615610008912524,0.0,300,300,1300,1300,1300,1300,1300,1300,1300,1300,1300
POST,/api/v1/accounts/114559319098063404/unfollow,5,0,320.0,526.5380266006105,154.16779700899497,1613.3480790012982,294.0,0.0054359350014854205,0.0,320,350,350,1600,1600,1600,1600,1600,1600,1600,1600
POST,/api/v1/accounts/114559319115345546/follow,3,0,210.0,311.9873026832162,155.65860501374118,565.5387680162676,292.0,0.0032615610008912524,0.0,210,210,570,570,570,570,570,570,570,570,570
GET,/api/v1/accounts/114559319115345546/followers,6,0,180.0,279.87896382789285,113.84453499340452,524.1484259895515,275.3333333333333,0.006523122001782505,0.0,210,210,520,520,520,520,520,520,520,520,520
GET,/api/v1/accounts/114559319115345546/following,8,0,140.0,202.46034937736113,125.45843300176784,615.2051580138505,302.125,0.008697496002376673,0.0,140,150,190,190,620,620,620,620,620,620,620
POST,/api/v1/accounts/114559319115345546/unfollow,3,0,160.0,165.09893467688622,144.66367100249045,194.6680520195514,294.0,0.0032615610008912524,0.0,160,160,190,190,190,190,190,190,190,190,190
POST,/api/v1/accounts/114559319149861030/follow,3,0,510.0,440.8623186657981,225.26763199130073,591.5426790015772,292.0,0.0032615610008912524,0.0,510,510,590,590,590,590,590,590,590,590,590
GET,/api/v1/accounts/114559319149861030/followers,9,0,190.0,252.42946511005155,127.66079499851912,561.0055220022332,907.6666666666666,0.009784683002673756,0.0,190,210,270,450,560,560,560,560,560,560,560
GET,/api/v1/accounts/114559319149861030/following,10,0,230.0,365.27910440345295,145.31203702790663,1431.143833004171,3486.2,0.010871870002970841,0.0,290,300,360,370,1400,1400,1400,1400,1400,1400,1400
POST,/api/v1/accounts/114559319149861030/unfollow,3,0,440.0,588.3030276745558,321.4892969990615,1003.5725680063479,294.0,0.0032615610008912524,0.0,440,440,1000,1000,1000,1000,1000,1000,1000,1000,1000
POST,/api/v1/accounts/114559319184750125/follow,2,0,300.0,774.6534699981567,299.4862199993804,1249.820719996933,292.0,0.002174374000594168,0.0,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200
GET,/api/v1/accounts/114559319184750125/followers,3,0,150.0,171.54367867624387,127.60171201080084,239.09327501314692,2.0,0.0032615610008912524,0.0,150,150,240,240,240,240,240,240,240,240,240
GET,/api/v1/accounts/114559319184750125/following,6,0,160.0,284.56461483438034,140.99740801611915,712.8431779856328,2255.1666666666665,0.006523122001782505,0.0,220,220,330,330,710,710,710,710,710,710,710
POST,/api/v1/accounts/114559319184750125/unfollow,2,0,621.973113011336,641.3195524946786,621.973113011336,660.6659919780213,294.0,0.002174374000594168,0.0,660,660,660,660,660,660,660,660,660,660,660
GET,/api/v1/accounts/114559319220312241/followers,4,0,160.0,209.01928925013635,129.6782929857727,300.8146799984388,2.0,0.004348748001188336,0.0,250,250,300,300,300,300,300,300,300,300,300
GET,/api/v1/accounts/114559319220312241/following,6,0,230.0,419.65059599412297,136.90118299564347,903.6378930031788,1999.1666666666667,0.006523122001782505,0.0,410,410,650,650,900,900,900,900,900,900,900
POST,/api/v1/accounts/114559319253925113/follow,2,0,152.67200200469233,312.20487599784974,152.67200200469233,471.73774999100715,292.0,0.002174374000594168,0.0,470,470,470,470,470,470,470,470,470,470,470
GET,/api/v1/accounts/114559319253925113/followers,7,0,260.0,406.8984472874685,125.31482000485994,1173.68282598909,469.14285714285717,0.007610309002079588,0.0,260,270,660,660,1200,1200,1200,1200,1200,1200,1200
GET,/api/v1/accounts/114559319253925113/following,5,0,180.0,210.44376239879057,141.39843900920823,338.2120830065105,1638.8,0.0054359350014854205,0.0,180,250,250,340,340,340,340,340,340,340,340
POST,/api/v1/accounts/114559319253925113/unfollow,2,0,143.65626897779293,169.07205247844104,143.65626897779293,194.48783597908914,294.0,0.002174374000594168,0.0,190,190,190,190,190,190,190,190,190,190,190
POST,/api/v1/accounts/114559319286617164/follow,4,0,520.0,543.9117762507522,249.21758699929342,842.8225749812555,292.0,0.004348748001188336,0.0,560,560,840,840,840,840,840,840,840,840,840
GET,/api/v1/accounts/114559319286617164/followers,5,0,190.0,249.47456679074094,153.71899597812444,435.5643989983946,165.0,0.0054359350014854205,0.0,190,280,280,440,440,440,440,440,440,440,440
GET,/api/v1/accounts/114559319286617164/following,10,0,210.0,408.2798107090639,127.64294899534434,1124.1480309981853,2801.6,0.010871870002970841,0.0,370,450,480,830,1100,1100,1100,1100,1100,1100,1100
